"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"entrezgene"	"ensembl_gene_id"
"79"	"chr7"	31092076	31151089	59014	"+"	"ADCYAP1R1"	117	"ENSG00000078549"
"80"	"chr4"	2845584	2931803	86220	"+"	"ADD1"	118	"ENSG00000087274"
"81"	"chr2"	70834750	70995357	160608	"-"	"ADD2"	119	"ENSG00000075340"
"82"	"chr10"	111756126	111895323	139198	"+"	"ADD3"	120	"ENSG00000148700"
"83"	"chr9"	19108373	19149288	40916	"-"	"PLIN2"	123	"ENSG00000147872"
"84"	"chr4"	100197524	100212185	14662	"-"	"ADH1A"	124	"ENSG00000187758"
"85"	"chr4"	100226121	100242558	16438	"-"	"ADH1B"	125	"ENSG00000196616"
"86"	"chr4"	100257649	100274184	16536	"-"	"ADH1C"	126	"ENSG00000248144"
"87"	"chr4"	100044808	100078949	34142	"-"	"ADH4"	127	"ENSG00000198099"
"88"	"chr4"	99992132	100009952	17821	"-"	"ADH5"	128	"ENSG00000197894"
"89"	"chr4"	100123795	100140694	16900	"-"	"ADH6"	130	"ENSG00000172955"
"90"	"chr4"	100333418	100356894	23477	"-"	"ADH7"	131	"ENSG00000196344"
"91"	"chr10"	75910960	76469061	558102	"+"	"ADK"	132	"ENSG00000156110"
"92"	"chr11"	10326227	10328944	2718	"+"	"ADM"	133	"ENSG00000148926"
"93"	"chr1"	203059782	203136533	76752	"+"	"ADORA1"	134	"ENSG00000163485"
"94"	"chr22"	24813847	24838328	24482	"+"	"ADORA2A"	135	"ENSG00000128271"
"95"	"chr17"	15848231	15879060	30830	"+"	"ADORA2B"	136	"ENSG00000170425"
"96"	"chr1"	112025970	112106584	80615	"-"	"ADORA3"	140	"ENSG00000121933"
"97"	"chr3"	119298115	119308792	10678	"+"	"ADPRH"	141	"ENSG00000144843"
"98"	"chr1"	226548392	226595780	47389	"-"	"PARP1"	142	"ENSG00000143799"
"99"	"chr13"	24995064	25086948	91885	"-"	"PARP4"	143	"ENSG00000102699"
"100"	"chr20"	4201329	4229721	28393	"-"	"ADRA1D"	146	"ENSG00000171873"
"101"	"chr5"	159343790	159399551	55762	"+"	"ADRA1B"	147	"ENSG00000170214"
"102"	"chr8"	26605667	26724790	119124	"-"	"ADRA1A"	148	"ENSG00000120907"
"103"	"chr10"	112836790	112840658	3869	"+"	"ADRA2A"	150	"ENSG00000150594"
"104"	"chr2"	96778707	96781984	3278	"-"	"ADRA2B"	151	"ENSG00000222040"
"105"	"chr4"	3768075	3770251	2177	"+"	"ADRA2C"	152	"ENSG00000184160"
"106"	"chr10"	115803806	115806667	2862	"+"	"ADRB1"	153	"ENSG00000043591"
"107"	"chr5"	148206156	148208196	2041	"+"	"ADRB2"	154	"ENSG00000169252"
"108"	"chr8"	37820516	37824483	3968	"-"	"ADRB3"	155	"ENSG00000188778"
"109"	"chr11"	67033881	67054027	20147	"+"	"ADRBK1"	156	"ENSG00000173020"
"110"	"chr22"	25960816	26125261	164446	"+"	"ADRBK2"	157	"ENSG00000100077"
"111"	"chr22"	40742507	40786467	43961	"+"	"ADSL"	158	"ENSG00000239900"
"112"	"chr1"	244571796	244615436	43641	"-"	"ADSS"	159	"ENSG00000035687"
"113"	"chr19"	50270225	50310370	40146	"+"	"AP2A1"	160	"ENSG00000196961"
"114"	"chr11"	924894	1012239	87346	"+"	"AP2A2"	161	"ENSG00000183020"
"115"	"chr22"	29723669	29819168	95500	"-"	"AP1B1"	162	"ENSG00000100280"
"116"	"chr17"	33905065	34053436	148372	"+"	"AP2B1"	163	"ENSG00000006125"
"117"	"chr16"	71762913	71843104	80192	"-"	"AP1G1"	164	"ENSG00000166747"
"118"	"chr7"	44143960	44154161	10202	"+"	"AEBP1"	165	"ENSG00000106624"
"119"	"chr19"	3052908	3063105	10198	"-"	"AES"	166	"ENSG00000104964"
"120"	"chr6"	49801970	49844809	42840	"-"	"CRISP1"	167	"ENSG00000124812"
"121"	"chr16"	90038994	90068569	29576	"+"	"AFG3L1P"	172	"ENSG00000223959"
"122"	"chr4"	74347400	74369691	22292	"+"	"AFM"	173	"ENSG00000079557"
"123"	"chr4"	74296855	74321891	25037	"+"	"AFP"	174	"ENSG00000081051"
"124"	"chr4"	178351924	178363657	11734	"-"	"AGA"	175	"ENSG00000038002"
"125"	"chr15"	89346674	89418585	71912	"+"	"ACAN"	176	"ENSG00000157766"
"126"	"chr6"	32148745	32152101	3357	"-"	"AGER"	177	"ENSG00000204305"
"127"	"chr1"	100315640	100389579	73940	"+"	"AGL"	178	"ENSG00000162688"
"128"	"chr16"	67516474	67517716	1243	"-"	"AGRP"	181	"ENSG00000159723"
"129"	"chr20"	10618332	10654694	36363	"-"	"JAG1"	182	"ENSG00000101384"
"130"	"chr1"	230838269	230850043	11775	"-"	"AGT"	183	"ENSG00000135744"
"131"	"chr3"	148415571	148460795	45225	"+"	"AGTR1"	185	"ENSG00000144891"
"132"	"chrX"	115301975	115306225	4251	"+"	"AGTR2"	186	"ENSG00000180772"
"133"	"chr11"	57001051	57004709	3659	"-"	"APLNR"	187	"ENSG00000134817"
"134"	"chr2"	241807896	241819919	12024	"+"	"AGXT"	189	"ENSG00000172482"
"135"	"chrX"	30322323	30327715	5393	"-"	"NR0B1"	190	"ENSG00000169297"
"136"	"chr20"	32868074	32899608	31535	"-"	"AHCY"	191	"ENSG00000101444"
"137"	"chr7"	17338246	17385776	47531	"+"	"AHR"	196	"ENSG00000106546"
"138"	"chr3"	186330712	186339107	8396	"+"	"AHSG"	197	"ENSG00000145192"
"139"	"chr6"	31582961	31584798	1838	"+"	"AIF1"	199	"ENSG00000204472"
"140"	"chr6"	106959730	107018326	58597	"+"	"AIM1"	202	"ENSG00000112297"
"141"	"chr9"	130628759	130640022	11264	"-"	"AK1"	203	"ENSG00000106992"
"142"	"chr1"	59096513	59097202	690	"-"	"RP4-592A1.2"	204	"ENSG00000185839"
"143"	"chr1"	65613232	65697828	84597	"+"	"AK4"	205	"ENSG00000162433"
"144"	"chr14"	105235686	105262088	26403	"-"	"AKT1"	207	"ENSG00000142208"
"145"	"chr19"	40736224	40791443	55220	"-"	"AKT2"	208	"ENSG00000105221"
"146"	"chr9"	116148597	116163613	15017	"-"	"ALAD"	210	"ENSG00000148218"
"147"	"chr3"	52232102	52248343	16242	"+"	"ALAS1"	211	"ENSG00000023330"
"148"	"chrX"	55035488	55057497	22010	"-"	"ALAS2"	212	"ENSG00000158578"
"149"	"chr4"	74262831	74287129	24299	"+"	"ALB"	213	"ENSG00000163631"
"150"	"chr3"	105085753	105295744	209992	"+"	"ALCAM"	214	"ENSG00000170017"
"151"	"chrX"	152990323	153010216	19894	"+"	"ABCD1"	215	"ENSG00000101986"
"152"	"chr9"	75515578	75695358	179781	"-"	"ALDH1A1"	216	"ENSG00000165092"
"153"	"chr12"	112204691	112247782	43092	"+"	"ALDH2"	217	"ENSG00000111275"
"154"	"chr17"	19641297	19652256	10960	"-"	"ALDH3A1"	218	"ENSG00000108602"
"155"	"chr9"	38392661	38398658	5998	"+"	"ALDH1B1"	219	"ENSG00000137124"
"156"	"chr15"	101417919	101456831	38913	"+"	"ALDH1A3"	220	"ENSG00000184254"
"157"	"chr11"	67776048	67796744	20697	"+"	"ALDH3B1"	221	"ENSG00000006534"
"158"	"chr11"	67429633	67448671	19039	"-"	"ALDH3B2"	222	"ENSG00000132746"
"159"	"chr1"	165631453	165668100	36648	"-"	"ALDH9A1"	223	"ENSG00000143149"
"160"	"chr17"	19551449	19580911	29463	"+"	"ALDH3A2"	224	"ENSG00000072210"
"161"	"chr12"	39943835	40013553	69719	"-"	"ABCD2"	225	"ENSG00000173208"
"162"	"chr16"	30064411	30081778	17368	"+"	"ALDOA"	226	"ENSG00000149925"
"163"	"chr9"	104182860	104198105	15246	"-"	"ALDOB"	229	"ENSG00000136872"
"164"	"chr17"	26900133	26904282	4150	"-"	"ALDOC"	230	"ENSG00000109107"
"165"	"chr7"	134127102	134144036	16935	"-"	"AKR1B1"	231	"ENSG00000085662"
"166"	"chr2"	29415640	30144432	728793	"-"	"ALK"	238	"ENSG00000171094"
"167"	"chr17"	6899384	6914055	14672	"+"	"ALOX12"	239	"ENSG00000108839"
"168"	"chr10"	45869661	45941561	71901	"+"	"ALOX5"	240	"ENSG00000012779"
"169"	"chr13"	31309645	31338556	28912	"+"	"ALOX5AP"	241	"ENSG00000132965"
"170"	"chr17"	7975954	7991021	15068	"-"	"ALOX12B"	242	"ENSG00000179477"
"171"	"chr10"	47746936	47763041	16106	"+"	"ANXA8L2"	244	"ENSG00000186807"
"172"	"chr17"	4534197	4545589	11393	"-"	"ALOX15"	246	"ENSG00000161905"
"173"	"chr17"	7942335	7952452	10118	"+"	"ALOX15B"	247	"ENSG00000179593"
"174"	"chr2"	233320833	233324742	3910	"+"	"ALPI"	248	"ENSG00000163295"
"175"	"chr1"	21835858	21904905	69048	"+"	"ALPL"	249	"ENSG00000162551"
"176"	"chr2"	233243244	233247599	4356	"+"	"ALPP"	250	"ENSG00000163283"
"177"	"chr2"	233271553	233275424	3872	"+"	"ALPPL2"	251	"ENSG00000163286"
"178"	"chr1"	110602616	110613322	10707	"-"	"ALX3"	257	"ENSG00000156150"
"179"	"chr4"	71457973	71473005	15033	"+"	"AMBN"	258	"ENSG00000178522"
"180"	"chr9"	116822407	116840752	18346	"-"	"AMBP"	259	"ENSG00000106927"
"181"	"chr6"	111195973	111216916	20944	"+"	"AMD1"	262	"ENSG00000123505"
"182"	"chrX"	11311533	11318881	7349	"+"	"AMELX"	265	"ENSG00000125363"
"183"	"chrY"	6733959	6742068	8110	"-"	"AMELY"	266	"ENSG00000099721"
"184"	"chr16"	56395364	56459450	64087	"-"	"AMFR"	267	"ENSG00000159461"
"185"	"chr19"	2249308	2252072	2765	"+"	"AMH"	268	"ENSG00000104899"
"186"	"chr12"	53817639	53825318	7680	"+"	"AMHR2"	269	"ENSG00000135409"
"187"	"chr1"	115215719	115238239	22521	"-"	"AMPD1"	270	"ENSG00000116748"
"188"	"chr1"	110158726	110174673	15948	"+"	"AMPD2"	271	"ENSG00000116337"
"189"	"chr11"	10329860	10529126	199267	"+"	"AMPD3"	272	"ENSG00000133805"
"190"	"chr7"	38423305	38671167	247863	"-"	"AMPH"	273	"ENSG00000078053"
"191"	"chr2"	127805603	127864931	59329	"-"	"BIN1"	274	"ENSG00000136717"
"192"	"chr3"	49454211	49460186	5976	"-"	"AMT"	275	"ENSG00000145020"
"193"	"chr1"	104197912	104207173	9262	"+"	"AMY1A"	276	"ENSG00000237763"
"194"	"chr1"	104159999	104168402	8404	"+"	"AMY2A"	279	"ENSG00000243480"
"195"	"chr1"	104096437	104122156	25720	"+"	"AMY2B"	280	"ENSG00000240038"
"196"	"chr14"	21152336	21167130	14795	"+"	"ANG"	283	"ENSG00000214274"
"197"	"chr8"	108261721	108510283	248563	"-"	"ANGPT1"	284	"ENSG00000154188"
"198"	"chr8"	6357172	6420930	63759	"-"	"ANGPT2"	285	"ENSG00000091879"
"199"	"chr8"	41510739	41754280	243542	"-"	"ANK1"	286	"ENSG00000029534"
"200"	"chr4"	113739265	114304896	565632	"+"	"ANK2"	287	"ENSG00000145362"
"201"	"chr10"	61786056	62493248	707193	"-"	"ANK3"	288	"ENSG00000151150"
"202"	"chr15"	90328120	90358633	30514	"-"	"ANPEP"	290	"ENSG00000166825"
"203"	"chr4"	186064395	186071536	7142	"+"	"SLC25A4"	291	"ENSG00000151729"
"204"	"chrX"	118602363	118605282	2920	"+"	"SLC25A5"	292	"ENSG00000005022"
"205"	"chrX"	1505045	1511617	6573	"-"	"SLC25A6"	293	"ENSG00000169100"
"206"	"chr9"	75766673	75785309	18637	"+"	"ANXA1"	301	"ENSG00000135046"
"207"	"chr15"	60639333	60695082	55750	"-"	"ANXA2"	302	"ENSG00000182718"
"208"	"chr9"	33624223	33625532	1310	"+"	"ANXA2P2"	304	"ENSG00000231991"
"209"	"chr4"	79472673	79531597	58925	"+"	"ANXA3"	306	"ENSG00000138772"
"210"	"chr2"	69871557	70053596	182040	"+"	"ANXA4"	307	"ENSG00000196975"
"211"	"chr4"	122589110	122618268	29159	"-"	"ANXA5"	308	"ENSG00000164111"
"212"	"chr5"	150480273	150537443	57171	"-"	"ANXA6"	309	"ENSG00000197043"
"213"	"chr10"	75134859	75173834	38976	"-"	"ANXA7"	310	"ENSG00000138279"
"214"	"chr10"	81910645	81965328	54684	"-"	"ANXA11"	311	"ENSG00000122359"
"215"	"chr8"	124693034	124749647	56614	"-"	"ANXA13"	312	"ENSG00000104537"
"216"	"chr7"	36552456	36764154	211699	"-"	"AOAH"	313	"ENSG00000136250"
"217"	"chr17"	40996617	41002724	6108	"+"	"AOC2"	314	"ENSG00000131480"
"218"	"chr2"	201450591	201541787	91197	"+"	"AOX1"	316	"ENSG00000138356"
"219"	"chr12"	99038919	99129204	90286	"+"	"APAF1"	317	"ENSG00000120868"
"220"	"chr9"	34329504	34343709	14206	"+"	"NUDT2"	318	"ENSG00000164978"
"221"	"chr12"	56754353	56756607	2255	"-"	"APOF"	319	"ENSG00000175336"
"222"	"chr9"	72042446	72287222	244777	"-"	"APBA1"	320	"ENSG00000107282"
"223"	"chr15"	29129629	29410518	280890	"+"	"APBA2"	321	"ENSG00000034053"
"224"	"chr11"	6416355	6440644	24290	"-"	"APBB1"	322	"ENSG00000166313"
"225"	"chr4"	40812044	41218731	406688	"-"	"APBB2"	323	"ENSG00000163697"
"226"	"chr5"	112043195	112181936	138742	"+"	"APC"	324	"ENSG00000134982"
"227"	"chr1"	159557615	159558655	1041	"+"	"APCS"	325	"ENSG00000132703"
"228"	"chr21"	45705721	45718531	12811	"+"	"AIRE"	326	"ENSG00000160224"
"229"	"chr3"	49711435	49721396	9962	"+"	"APEH"	327	"ENSG00000164062"
"230"	"chr14"	20923350	20925927	2578	"+"	"APEX1"	328	"ENSG00000100823"
"231"	"chr11"	102217942	102249401	31460	"+"	"BIRC2"	329	"ENSG00000110330"
"232"	"chr11"	102188215	102210134	21920	"+"	"BIRC3"	330	"ENSG00000023445"
"233"	"chr10"	111440200	111440799	600	"+"	"RP11-566F5.1"	331	"ENSG00000270294"
"234"	"chr17"	76210267	76221717	11451	"+"	"BIRC5"	332	"ENSG00000089685"
"235"	"chr19"	36358801	36370693	11893	"+"	"APLP1"	333	"ENSG00000105290"
"236"	"chr11"	129939732	130014699	74968	"+"	"APLP2"	334	"ENSG00000084234"
"237"	"chr11"	116706467	116708666	2200	"-"	"APOA1"	335	"ENSG00000118137"
"238"	"chr1"	161192082	161193421	1340	"-"	"APOA2"	336	"ENSG00000158874"
"239"	"chr11"	116691419	116694022	2604	"-"	"APOA4"	337	"ENSG00000110244"
"240"	"chr2"	21224301	21266945	42645	"-"	"APOB"	338	"ENSG00000084674"
"241"	"chr12"	7801996	7818499	16504	"-"	"APOBEC1"	339	"ENSG00000111701"
"242"	"chr19"	45417504	45422606	5103	"+"	"APOC1"	341	"ENSG00000130208"
"243"	"chr19"	45430061	45434643	4583	"+"	"APOC1P1"	342	"ENSG00000214855"
"244"	"chr16"	25227052	25240261	13210	"+"	"AQP8"	343	"ENSG00000103375"
"245"	"chr19"	45445495	45452822	7328	"+"	"APOC4-APOC2"	344	"ENSG00000224916"
"246"	"chr11"	116700422	116703788	3367	"+"	"APOC3"	345	"ENSG00000110245"
"247"	"chr19"	45445495	45452822	7328	"+"	"APOC4-APOC2"	346	"ENSG00000224916"
"248"	"chr3"	195295573	195311076	15504	"-"	"APOD"	347	"ENSG00000189058"
"249"	"chr19"	45409011	45412650	3640	"+"	"APOE"	348	"ENSG00000130203"
"250"	"chr17"	64208151	64252643	44493	"-"	"APOH"	350	"ENSG00000091583"
"251"	"chr21"	27252861	27543446	290586	"-"	"APP"	351	"ENSG00000142192"
"252"	"chr16"	88875747	88878352	2606	"-"	"APRT"	353	"ENSG00000198931"
"253"	"chr19"	51358171	51364020	5850	"+"	"KLK3"	354	"ENSG00000142515"
"254"	"chr10"	90750414	90775542	25129	"+"	"FAS"	355	"ENSG00000026103"
"255"	"chr1"	172628154	172636014	7861	"+"	"FASLG"	356	"ENSG00000117560"
"256"	"chrX"	9754496	9917483	162988	"+"	"SHROOM2"	357	"ENSG00000146950"
"257"	"chr7"	30893010	30965131	72122	"+"	"AQP1"	358	"ENSG00000240583"
"258"	"chr12"	50344524	50352664	8141	"+"	"AQP2"	359	"ENSG00000167580"
"259"	"chr9"	33441152	33447609	6458	"-"	"AQP3"	360	"ENSG00000165272"
"260"	"chr18"	24432002	24445782	13781	"-"	"AQP4"	361	"ENSG00000171885"
"261"	"chr12"	50355653	50359464	3812	"+"	"AQP5"	362	"ENSG00000161798"
"262"	"chr12"	50360977	50370922	9946	"+"	"AQP6"	363	"ENSG00000086159"
"263"	"chr9"	33384765	33402643	17879	"-"	"AQP7"	364	"ENSG00000165269"
"264"	"chr15"	58430368	58478110	47743	"+"	"AQP9"	366	"ENSG00000103569"
"265"	"chrX"	66764465	66950461	185997	"+"	"AR"	367	"ENSG00000169083"
"266"	"chr16"	16242785	16317379	74595	"-"	"ABCC6"	368	"ENSG00000091262"
"267"	"chrX"	47420516	47431307	10792	"+"	"ARAF"	369	"ENSG00000078061"
"268"	"chr11"	118443105	118473748	30644	"+"	"ARCN1"	372	"ENSG00000095139"
"269"	"chr5"	64885507	64921802	36296	"-"	"TRIM23"	373	"ENSG00000113595"
"270"	"chr4"	75310851	75320726	9876	"+"	"AREG"	374	"ENSG00000109321"
"271"	"chr1"	228270361	228286912	16552	"+"	"ARF1"	375	"ENSG00000143761"
"272"	"chr12"	49329506	49351334	21829	"-"	"ARF3"	377	"ENSG00000134287"
"273"	"chr3"	57557090	57583947	26858	"-"	"ARF4"	378	"ENSG00000168374"
"274"	"chr17"	41476327	41478505	2179	"+"	"ARL4D"	379	"ENSG00000175906"
"275"	"chr7"	127228399	127231759	3361	"+"	"ARF5"	381	"ENSG00000004059"
"276"	"chr14"	50359810	50361490	1681	"+"	"ARF6"	382	"ENSG00000165527"
"277"	"chr6"	131894284	131905472	11189	"+"	"ARG1"	383	"ENSG00000118520"
"278"	"chr14"	68086515	68118437	31923	"+"	"ARG2"	384	"ENSG00000081181"
"279"	"chr3"	49396578	49450431	53854	"-"	"RHOA"	387	"ENSG00000067560"
"280"	"chr2"	20646835	20649200	2366	"+"	"RHOB"	388	"ENSG00000143878"
"281"	"chr1"	113243728	113250056	6329	"-"	"RHOC"	389	"ENSG00000155366"
"282"	"chr2"	151324709	151395525	70817	"-"	"RND3"	390	"ENSG00000115963"
"283"	"chr11"	3848208	3862213	14006	"-"	"RHOG"	391	"ENSG00000177105"
"284"	"chr11"	46698630	46722165	23536	"-"	"ARHGAP1"	392	"ENSG00000175220"
"285"	"chrX"	153172821	153200452	27632	"-"	"ARHGAP4"	393	"ENSG00000089820"
"286"	"chr14"	32545320	32628934	83615	"+"	"ARHGAP5"	394	"ENSG00000100852"
"287"	"chrX"	11136239	11683821	547583	"-"	"ARHGAP6"	395	"ENSG00000047648"
"288"	"chr17"	79825597	79829282	3686	"-"	"ARHGDIA"	396	"ENSG00000141522"
"289"	"chr12"	15094951	15114662	19712	"-"	"ARHGDIB"	397	"ENSG00000111348"
"290"	"chr16"	318726	333003	14278	"+"	"ARHGDIG"	398	"ENSG00000242173"
"291"	"chr4"	40192673	40248587	55915	"+"	"RHOH"	399	"ENSG00000168421"
"292"	"chr12"	101786898	101801598	14701	"-"	"ARL1"	400	"ENSG00000120805"
"293"	"chr11"	71950121	71956708	6588	"-"	"PHOX2A"	401	"ENSG00000165462"
"294"	"chr11"	64781585	64789656	8072	"+"	"ARL2"	402	"ENSG00000213465"
"295"	"chr10"	104433488	104474164	40677	"-"	"ARL3"	403	"ENSG00000138175"
"296"	"chr1"	150782181	150849244	67064	"-"	"ARNT"	405	"ENSG00000143437"
"297"	"chr11"	13298199	13408813	110615	"+"	"ARNTL"	406	"ENSG00000133794"
"298"	"chrX"	69488155	69501690	13536	"+"	"ARR3"	407	"ENSG00000120500"
"299"	"chr11"	74975226	75062873	87648	"-"	"ARRB1"	408	"ENSG00000137486"
"300"	"chr17"	4613784	4624794	11011	"+"	"ARRB2"	409	"ENSG00000141480"
"301"	"chr22"	51061182	51066607	5426	"-"	"ARSA"	410	"ENSG00000100299"
"302"	"chr5"	78073032	78281910	208879	"-"	"ARSB"	411	"ENSG00000113273"
"303"	"chrX"	7137497	7272851	135355	"+"	"STS"	412	"ENSG00000101846"
"304"	"chrX"	2822011	2847392	25382	"-"	"ARSD"	414	"ENSG00000006756"
